Country,Capital City,Latitude,Longitude,Population,Capital Type
China,Хихэцзы,44.3054,86.0804,717000,Capital
Uzbekistan,Андижан,40.7833,72.3333,547800,Others
Uzbekistan,Самарканд,39.6547,66.9758,546303,Capital
China,Кульджа,43.9,81.35,542507,Capital
China,Аксу,41.185,80.2904,535657,Capital
Kazakhstan,Караганда,49.8028,73.1056,497777,Capital
China,Карамай,45.5799,84.8892,487000,Capital
China,Куга,41.7156,82.9322,462588,Capital
Kazakhstan,Усть-Камменогорск,49.9833,82.6167,400142,Capital
Kazakhstan,Актобе,50.2836,57.2297,387807,Capital
Kazakhstan,Тараз,42.9,71.3667,357795,Capital
Kyrgyzstan,Ош,40.53,72.8,353080,Capital
Kazakhstan,Семипалатинск,50.4333,80.2667,350201,Capital
Kazakhstan,Павлодар,52.3,76.95,343091,Capital
China,Хотан,37.1167,79.9167,322300,Capital
Uzbekistan,Нукус,42.4667,59.6,319583,Others
Uzbekistan,Фергана,40.3864,71.7864,288850,Others
Uzbekistan,Бухара,39.7667,64.4231,280187,Others
Uzbekistan,Карши,38.8667,65.8,274891,Others
Uzbekistan,Коканд,40.5286,70.9425,259700,Others
Kazakhstan,Туркестан,43.3019,68.2692,250000, Capital
Kazakhstan,Кызылорда,44.85,65.5167,242462,Capital
China,Боле,44.8539,82.0514,235585,Capital
Kazakhstan,Уральск,51.2225,51.3725,234184,Capital
Tajikistan,Канибадам,40.2833,70.4167,219000,Others
Kazakhstan,Костанай,53.2,63.62,217135,Capital
Kazakhstan,Петропавловск,54.8833,69.1667,201446,Capital
Kazakhstan,Темиртау,50.05,72.95,185082,Capital
Kazakhstan,Актау,43.6525,51.1575,183350,Capital
China,Куйтун,44.4264,84.9032,166261,Capital
Kazakhstan,Кокшетау,53.2833,69.3833,165153,Capital
Uzbekistan,Джизак,40.1158,67.8422,163200,Others
China,Чугучак,46.7517,82.9869,161037,Capital
Kazakhstan,Экибастуз,51.6667,75.3667,159760,Capital
